id_regra;antecedente;consequente;itens_antecedente;itens_consequente;total_itens;suporte;confianca;lift;leverage;conviction
11;FAIXA_IDADE__IDADE_21_A_29 + CATEGORIA_FILHOS__SEM_FILHOS + POSSE_CARRO__COM_CARRO + FAIXA_TAXA_REJEICAO__SEM_REJEICAO_PREVIA;SITUACAO_FAMILIAR__SOLTEIRO;4;1;5;0.010000;0.49;3.27;0.01;1.65
12;SITUACAO_FAMILIAR__SOLTEIRO;FAIXA_IDADE__IDADE_21_A_29 + CATEGORIA_FILHOS__SEM_FILHOS + POSSE_CARRO__COM_CARRO + FAIXA_TAXA_REJEICAO__SEM_REJEICAO_PREVIA;1;4;5;0.010000;0.07;3.27;0.01;1.05
13;SITUACAO_FAMILIAR__SOLTEIRO + FAIXA_TAXA_REJEICAO__SEM_REJEICAO_PREVIA;FAIXA_IDADE__IDADE_21_A_29 + CATEGORIA_FILHOS__SEM_FILHOS + POSSE_CARRO__COM_CARRO;2;3;5;0.010000;0.1;3.24;0.01;1.07
14;FAIXA_IDADE__IDADE_21_A_29 + CATEGORIA_FILHOS__SEM_FILHOS + POSSE_CARRO__COM_CARRO;SITUACAO_FAMILIAR__SOLTEIRO + FAIXA_TAXA_REJEICAO__SEM_REJEICAO_PREVIA;3;2;5;0.010000;0.34;3.24;0.01;1.35
15;FAIXA_IDADE__IDADE_60_OU_MAIS + POSSE_CARRO__SEM_CARRO + FAIXA_TAXA_REJEICAO__SEM_REJEICAO_PREVIA;CATEGORIA_FILHOS__SEM_FILHOS + SITUACAO_FAMILIAR__SEPARADO_VIUVO_OU_NAO_INFORMADO + FAIXA_CREDITOS_ATIVOS__UM_A_DOIS_CREDITOS_ATIVOS;3;3;6;0.010000;0.13;3.23;0.01;1.1
16;CATEGORIA_FILHOS__SEM_FILHOS + SITUACAO_FAMILIAR__SEPARADO_VIUVO_OU_NAO_INFORMADO + FAIXA_CREDITOS_ATIVOS__UM_A_DOIS_CREDITOS_ATIVOS;FAIXA_IDADE__IDADE_60_OU_MAIS + POSSE_CARRO__SEM_CARRO + FAIXA_TAXA_REJEICAO__SEM_REJEICAO_PREVIA;3;3;6;0.010000;0.25;3.23;0.01;1.23
17;FAIXA_IDADE__IDADE_60_OU_MAIS + FAIXA_CREDITOS_ATIVOS__UM_A_DOIS_CREDITOS_ATIVOS;CATEGORIA_FILHOS__SEM_FILHOS + POSSE_CARRO__SEM_CARRO + SITUACAO_FAMILIAR__SEPARADO_VIUVO_OU_NAO_INFORMADO + FAIXA_TAXA_REJEICAO__SEM_REJEICAO_PREVIA;2;4;6;0.010000;0.17;3.12;0.01;1.14
18;CATEGORIA_FILHOS__SEM_FILHOS + POSSE_CARRO__SEM_CARRO + SITUACAO_FAMILIAR__SEPARADO_VIUVO_OU_NAO_INFORMADO + FAIXA_TAXA_REJEICAO__SEM_REJEICAO_PREVIA;FAIXA_IDADE__IDADE_60_OU_MAIS + FAIXA_CREDITOS_ATIVOS__UM_A_DOIS_CREDITOS_ATIVOS;4;2;6;0.010000;0.18;3.12;0.01;1.15
19;CATEGORIA_FILHOS__SEM_FILHOS + SITUACAO_FAMILIAR__SEPARADO_VIUVO_OU_NAO_INFORMADO + FAIXA_CREDITOS_ATIVOS__UM_A_DOIS_CREDITOS_ATIVOS + FAIXA_TAXA_REJEICAO__SEM_REJEICAO_PREVIA;FAIXA_IDADE__IDADE_60_OU_MAIS + POSSE_CARRO__SEM_CARRO;4;2;6;0.010000;0.36;3.1;0.01;1.37
20;FAIXA_IDADE__IDADE_60_OU_MAIS + POSSE_CARRO__SEM_CARRO;CATEGORIA_FILHOS__SEM_FILHOS + SITUACAO_FAMILIAR__SEPARADO_VIUVO_OU_NAO_INFORMADO + FAIXA_CREDITOS_ATIVOS__UM_A_DOIS_CREDITOS_ATIVOS + FAIXA_TAXA_REJEICAO__SEM_REJEICAO_PREVIA;2;4;6;0.010000;0.09;3.1;0.01;1.06
21;FAIXA_IDADE__IDADE_60_OU_MAIS + FAIXA_TAXA_REJEICAO__SEM_REJEICAO_PREVIA;CATEGORIA_FILHOS__SEM_FILHOS + POSSE_CARRO__SEM_CARRO + SITUACAO_FAMILIAR__SEPARADO_VIUVO_OU_NAO_INFORMADO + FAIXA_CREDITOS_ATIVOS__UM_A_DOIS_CREDITOS_ATIVOS;2;4;6;0.010000;0.1;3.1;0.01;1.08
22;CATEGORIA_FILHOS__SEM_FILHOS + POSSE_CARRO__SEM_CARRO + SITUACAO_FAMILIAR__SEPARADO_VIUVO_OU_NAO_INFORMADO + FAIXA_CREDITOS_ATIVOS__UM_A_DOIS_CREDITOS_ATIVOS;FAIXA_IDADE__IDADE_60_OU_MAIS + FAIXA_TAXA_REJEICAO__SEM_REJEICAO_PREVIA;4;2;6;0.010000;0.3;3.1;0.01;1.28
23;FAIXA_IDADE__IDADE_60_OU_MAIS + POSSE_CARRO__SEM_CARRO + FAIXA_CREDITOS_ATIVOS__UM_A_DOIS_CREDITOS_ATIVOS + FAIXA_TAXA_REJEICAO__SEM_REJEICAO_PREVIA;CATEGORIA_FILHOS__SEM_FILHOS + SITUACAO_FAMILIAR__SEPARADO_VIUVO_OU_NAO_INFORMADO;4;2;6;0.010000;0.3;3.07;0.01;1.29
24;CATEGORIA_FILHOS__SEM_FILHOS + SITUACAO_FAMILIAR__SEPARADO_VIUVO_OU_NAO_INFORMADO;FAIXA_IDADE__IDADE_60_OU_MAIS + POSSE_CARRO__SEM_CARRO + FAIXA_CREDITOS_ATIVOS__UM_A_DOIS_CREDITOS_ATIVOS + FAIXA_TAXA_REJEICAO__SEM_REJEICAO_PREVIA;2;4;6;0.010000;0.1;3.07;0.01;1.08
25;FAIXA_IDADE__IDADE_60_OU_MAIS;CATEGORIA_FILHOS__SEM_FILHOS + POSSE_CARRO__SEM_CARRO + SITUACAO_FAMILIAR__SEPARADO_VIUVO_OU_NAO_INFORMADO + FAIXA_CREDITOS_ATIVOS__UM_A_DOIS_CREDITOS_ATIVOS + FAIXA_TAXA_REJEICAO__SEM_REJEICAO_PREVIA;1;5;6;0.010000;0.07;2.95;0.01;1.05
26;CATEGORIA_FILHOS__SEM_FILHOS + POSSE_CARRO__SEM_CARRO + SITUACAO_FAMILIAR__SEPARADO_VIUVO_OU_NAO_INFORMADO + FAIXA_CREDITOS_ATIVOS__UM_A_DOIS_CREDITOS_ATIVOS + FAIXA_TAXA_REJEICAO__SEM_REJEICAO_PREVIA;FAIXA_IDADE__IDADE_60_OU_MAIS;5;1;6;0.010000;0.42;2.95;0.01;1.47
27;CATEGORIA_FILHOS__SEM_FILHOS + POSSE_CARRO__SEM_CARRO + SITUACAO_FAMILIAR__SEPARADO_VIUVO_OU_NAO_INFORMADO;FAIXA_IDADE__IDADE_60_OU_MAIS + FAIXA_CREDITOS_ATIVOS__UM_A_DOIS_CREDITOS_ATIVOS + FAIXA_TAXA_REJEICAO__SEM_REJEICAO_PREVIA;3;3;6;0.010000;0.12;2.86;0.01;1.09
28;FAIXA_IDADE__IDADE_60_OU_MAIS + FAIXA_CREDITOS_ATIVOS__UM_A_DOIS_CREDITOS_ATIVOS + FAIXA_TAXA_REJEICAO__SEM_REJEICAO_PREVIA;CATEGORIA_FILHOS__SEM_FILHOS + POSSE_CARRO__SEM_CARRO + SITUACAO_FAMILIAR__SEPARADO_VIUVO_OU_NAO_INFORMADO;3;3;6;0.010000;0.24;2.86;0.01;1.2
29;SITUACAO_FAMILIAR__SEPARADO_VIUVO_OU_NAO_INFORMADO + FAIXA_TAXA_REJEICAO__SEM_REJEICAO_PREVIA;FAIXA_IDADE__IDADE_60_OU_MAIS + CATEGORIA_FILHOS__SEM_FILHOS + POSSE_CARRO__SEM_CARRO + FAIXA_CREDITOS_ATIVOS__UM_A_DOIS_CREDITOS_ATIVOS;2;4;6;0.010000;0.13;2.77;0.01;1.09
30;FAIXA_IDADE__IDADE_60_OU_MAIS + CATEGORIA_FILHOS__SEM_FILHOS + POSSE_CARRO__SEM_CARRO + FAIXA_CREDITOS_ATIVOS__UM_A_DOIS_CREDITOS_ATIVOS;SITUACAO_FAMILIAR__SEPARADO_VIUVO_OU_NAO_INFORMADO + FAIXA_TAXA_REJEICAO__SEM_REJEICAO_PREVIA;4;2;6;0.010000;0.22;2.77;0.01;1.17
31;FAIXA_IDADE__IDADE_60_OU_MAIS + POSSE_CARRO__SEM_CARRO + FAIXA_CREDITOS_ATIVOS__UM_A_DOIS_CREDITOS_ATIVOS;SITUACAO_FAMILIAR__SEPARADO_VIUVO_OU_NAO_INFORMADO + FAIXA_TAXA_REJEICAO__SEM_REJEICAO_PREVIA;3;2;5;0.010000;0.22;2.74;0.01;1.17
32;SITUACAO_FAMILIAR__SEPARADO_VIUVO_OU_NAO_INFORMADO + FAIXA_TAXA_REJEICAO__SEM_REJEICAO_PREVIA;FAIXA_IDADE__IDADE_60_OU_MAIS + POSSE_CARRO__SEM_CARRO + FAIXA_CREDITOS_ATIVOS__UM_A_DOIS_CREDITOS_ATIVOS;2;3;5;0.010000;0.13;2.74;0.01;1.09
33;FAIXA_IDADE__IDADE_60_OU_MAIS + CATEGORIA_FILHOS__SEM_FILHOS + FAIXA_CREDITOS_ATIVOS__UM_A_DOIS_CREDITOS_ATIVOS;POSSE_CARRO__SEM_CARRO + SITUACAO_FAMILIAR__SEPARADO_VIUVO_OU_NAO_INFORMADO + FAIXA_TAXA_REJEICAO__SEM_REJEICAO_PREVIA;3;3;6;0.010000;0.17;2.66;0.01;1.13
34;POSSE_CARRO__SEM_CARRO + SITUACAO_FAMILIAR__SEPARADO_VIUVO_OU_NAO_INFORMADO + FAIXA_TAXA_REJEICAO__SEM_REJEICAO_PREVIA;FAIXA_IDADE__IDADE_60_OU_MAIS + CATEGORIA_FILHOS__SEM_FILHOS + FAIXA_CREDITOS_ATIVOS__UM_A_DOIS_CREDITOS_ATIVOS;3;3;6;0.010000;0.16;2.66;0.01;1.11
35;FAIXA_IDADE__IDADE_60_OU_MAIS + FAIXA_CREDITOS_ATIVOS__UM_A_DOIS_CREDITOS_ATIVOS;POSSE_CARRO__SEM_CARRO + SITUACAO_FAMILIAR__SEPARADO_VIUVO_OU_NAO_INFORMADO + FAIXA_TAXA_REJEICAO__SEM_REJEICAO_PREVIA;2;3;5;0.010000;0.17;2.62;0.01;1.12
36;POSSE_CARRO__SEM_CARRO + SITUACAO_FAMILIAR__SEPARADO_VIUVO_OU_NAO_INFORMADO + FAIXA_TAXA_REJEICAO__SEM_REJEICAO_PREVIA;FAIXA_IDADE__IDADE_60_OU_MAIS + FAIXA_CREDITOS_ATIVOS__UM_A_DOIS_CREDITOS_ATIVOS;3;2;5;0.010000;0.16;2.62;0.01;1.11
37;SITUACAO_FAMILIAR__SEPARADO_VIUVO_OU_NAO_INFORMADO + FAIXA_CREDITOS_ATIVOS__UM_A_DOIS_CREDITOS_ATIVOS;FAIXA_IDADE__IDADE_60_OU_MAIS + CATEGORIA_FILHOS__SEM_FILHOS + POSSE_CARRO__SEM_CARRO + FAIXA_TAXA_REJEICAO__SEM_REJEICAO_PREVIA;2;4;6;0.010000;0.2;2.61;0.01;1.15
38;FAIXA_IDADE__IDADE_60_OU_MAIS + CATEGORIA_FILHOS__SEM_FILHOS + POSSE_CARRO__SEM_CARRO + FAIXA_TAXA_REJEICAO__SEM_REJEICAO_PREVIA;SITUACAO_FAMILIAR__SEPARADO_VIUVO_OU_NAO_INFORMADO + FAIXA_CREDITOS_ATIVOS__UM_A_DOIS_CREDITOS_ATIVOS;4;2;6;0.010000;0.13;2.61;0.01;1.09
39;SITUACAO_FAMILIAR__SEPARADO_VIUVO_OU_NAO_INFORMADO + FAIXA_CREDITOS_ATIVOS__UM_A_DOIS_CREDITOS_ATIVOS;FAIXA_IDADE__IDADE_60_OU_MAIS + POSSE_CARRO__SEM_CARRO + FAIXA_TAXA_REJEICAO__SEM_REJEICAO_PREVIA;2;3;5;0.010000;0.2;2.6;0.01;1.15
40;FAIXA_IDADE__IDADE_60_OU_MAIS + POSSE_CARRO__SEM_CARRO + FAIXA_TAXA_REJEICAO__SEM_REJEICAO_PREVIA;SITUACAO_FAMILIAR__SEPARADO_VIUVO_OU_NAO_INFORMADO + FAIXA_CREDITOS_ATIVOS__UM_A_DOIS_CREDITOS_ATIVOS;3;2;5;0.010000;0.13;2.6;0.01;1.09
41;FAIXA_IDADE__IDADE_60_OU_MAIS + CATEGORIA_FILHOS__SEM_FILHOS + FAIXA_TAXA_REJEICAO__SEM_REJEICAO_PREVIA;POSSE_CARRO__SEM_CARRO + SITUACAO_FAMILIAR__SEPARADO_VIUVO_OU_NAO_INFORMADO + FAIXA_CREDITOS_ATIVOS__UM_A_DOIS_CREDITOS_ATIVOS;3;3;6;0.010000;0.11;2.57;0.01;1.07
42;POSSE_CARRO__SEM_CARRO + SITUACAO_FAMILIAR__SEPARADO_VIUVO_OU_NAO_INFORMADO + FAIXA_CREDITOS_ATIVOS__UM_A_DOIS_CREDITOS_ATIVOS;FAIXA_IDADE__IDADE_60_OU_MAIS + CATEGORIA_FILHOS__SEM_FILHOS + FAIXA_TAXA_REJEICAO__SEM_REJEICAO_PREVIA;3;3;6;0.010000;0.24;2.57;0.01;1.19
43;POSSE_CARRO__SEM_CARRO + SITUACAO_FAMILIAR__SEPARADO_VIUVO_OU_NAO_INFORMADO + FAIXA_CREDITOS_ATIVOS__UM_A_DOIS_CREDITOS_ATIVOS;FAIXA_IDADE__IDADE_60_OU_MAIS + FAIXA_TAXA_REJEICAO__SEM_REJEICAO_PREVIA;3;2;5;0.010000;0.24;2.55;0.01;1.19
44;FAIXA_IDADE__IDADE_60_OU_MAIS + FAIXA_TAXA_REJEICAO__SEM_REJEICAO_PREVIA;POSSE_CARRO__SEM_CARRO + SITUACAO_FAMILIAR__SEPARADO_VIUVO_OU_NAO_INFORMADO + FAIXA_CREDITOS_ATIVOS__UM_A_DOIS_CREDITOS_ATIVOS;2;3;5;0.010000;0.1;2.55;0.01;1.07
45;FAIXA_IDADE__IDADE_60_OU_MAIS + CATEGORIA_FILHOS__SEM_FILHOS + POSSE_CARRO__SEM_CARRO;SITUACAO_FAMILIAR__SEPARADO_VIUVO_OU_NAO_INFORMADO + FAIXA_CREDITOS_ATIVOS__UM_A_DOIS_CREDITOS_ATIVOS + FAIXA_TAXA_REJEICAO__SEM_REJEICAO_PREVIA;3;3;6;0.010000;0.09;2.54;0.01;1.06
46;SITUACAO_FAMILIAR__SEPARADO_VIUVO_OU_NAO_INFORMADO + FAIXA_CREDITOS_ATIVOS__UM_A_DOIS_CREDITOS_ATIVOS + FAIXA_TAXA_REJEICAO__SEM_REJEICAO_PREVIA;FAIXA_IDADE__IDADE_60_OU_MAIS + CATEGORIA_FILHOS__SEM_FILHOS + POSSE_CARRO__SEM_CARRO;3;3;6;0.010000;0.29;2.54;0.01;1.24
47;FAIXA_RENDA__RENDA_MUITO_ALTA + FAIXA_IDADE__IDADE_50_A_59;FAIXA_CREDITO__CREDITO_MUITO_ALTO + FAIXA_CREDITOS_ATIVOS__TRES_OU_MAIS_CREDITOS_ATIVOS;2;2;4;0.010000;0.19;2.54;0.01;1.14
48;FAIXA_CREDITO__CREDITO_MUITO_ALTO + FAIXA_CREDITOS_ATIVOS__TRES_OU_MAIS_CREDITOS_ATIVOS;FAIXA_RENDA__RENDA_MUITO_ALTA + FAIXA_IDADE__IDADE_50_A_59;2;2;4;0.010000;0.13;2.54;0.01;1.09
49;FAIXA_IDADE__IDADE_60_OU_MAIS + CATEGORIA_FILHOS__SEM_FILHOS + POSSE_CARRO__SEM_CARRO + FAIXA_CREDITOS_ATIVOS__UM_A_DOIS_CREDITOS_ATIVOS + FAIXA_TAXA_REJEICAO__SEM_REJEICAO_PREVIA;SITUACAO_FAMILIAR__SEPARADO_VIUVO_OU_NAO_INFORMADO;5;1;6;0.010000;0.3;2.53;0.01;1.26
50;SITUACAO_FAMILIAR__SEPARADO_VIUVO_OU_NAO_INFORMADO;FAIXA_IDADE__IDADE_60_OU_MAIS + CATEGORIA_FILHOS__SEM_FILHOS + POSSE_CARRO__SEM_CARRO + FAIXA_CREDITOS_ATIVOS__UM_A_DOIS_CREDITOS_ATIVOS + FAIXA_TAXA_REJEICAO__SEM_REJEICAO_PREVIA;1;5;6;0.010000;0.08;2.53;0.01;1.05
51;SITUACAO_FAMILIAR__SEPARADO_VIUVO_OU_NAO_INFORMADO + FAIXA_CREDITOS_ATIVOS__UM_A_DOIS_CREDITOS_ATIVOS + FAIXA_TAXA_REJEICAO__SEM_REJEICAO_PREVIA;FAIXA_IDADE__IDADE_60_OU_MAIS + POSSE_CARRO__SEM_CARRO;3;2;5;0.010000;0.29;2.52;0.01;1.24
52;FAIXA_IDADE__IDADE_60_OU_MAIS + POSSE_CARRO__SEM_CARRO;SITUACAO_FAMILIAR__SEPARADO_VIUVO_OU_NAO_INFORMADO + FAIXA_CREDITOS_ATIVOS__UM_A_DOIS_CREDITOS_ATIVOS + FAIXA_TAXA_REJEICAO__SEM_REJEICAO_PREVIA;2;3;5;0.010000;0.09;2.52;0.01;1.06
53;CATEGORIA_FILHOS__SEM_FILHOS + SITUACAO_FAMILIAR__SOLTEIRO;FAIXA_IDADE__IDADE_21_A_29 + POSSE_CARRO__COM_CARRO + FAIXA_TAXA_REJEICAO__SEM_REJEICAO_PREVIA;2;3;5;0.010000;0.08;2.52;0.01;1.05
54;FAIXA_IDADE__IDADE_21_A_29 + POSSE_CARRO__COM_CARRO + FAIXA_TAXA_REJEICAO__SEM_REJEICAO_PREVIA;CATEGORIA_FILHOS__SEM_FILHOS + SITUACAO_FAMILIAR__SOLTEIRO;3;2;5;0.010000;0.32;2.52;0.01;1.28
55;FAIXA_IDADE__IDADE_21_A_29 + POSSE_CARRO__COM_CARRO;CATEGORIA_FILHOS__SEM_FILHOS + SITUACAO_FAMILIAR__SOLTEIRO + FAIXA_TAXA_REJEICAO__SEM_REJEICAO_PREVIA;2;3;5;0.010000;0.22;2.52;0.01;1.17
56;CATEGORIA_FILHOS__SEM_FILHOS + SITUACAO_FAMILIAR__SOLTEIRO + FAIXA_TAXA_REJEICAO__SEM_REJEICAO_PREVIA;FAIXA_IDADE__IDADE_21_A_29 + POSSE_CARRO__COM_CARRO;3;2;5;0.010000;0.11;2.52;0.01;1.08
57;SITUACAO_FAMILIAR__SEPARADO_VIUVO_OU_NAO_INFORMADO;FAIXA_IDADE__IDADE_60_OU_MAIS + POSSE_CARRO__SEM_CARRO + FAIXA_CREDITOS_ATIVOS__UM_A_DOIS_CREDITOS_ATIVOS + FAIXA_TAXA_REJEICAO__SEM_REJEICAO_PREVIA;1;4;5;0.010000;0.08;2.51;0.01;1.05
58;FAIXA_IDADE__IDADE_60_OU_MAIS + POSSE_CARRO__SEM_CARRO + FAIXA_CREDITOS_ATIVOS__UM_A_DOIS_CREDITOS_ATIVOS + FAIXA_TAXA_REJEICAO__SEM_REJEICAO_PREVIA;SITUACAO_FAMILIAR__SEPARADO_VIUVO_OU_NAO_INFORMADO;4;1;5;0.010000;0.3;2.51;0.01;1.25
59;POSSE_CARRO__SEM_CARRO + SITUACAO_FAMILIAR__SEPARADO_VIUVO_OU_NAO_INFORMADO + FAIXA_CREDITOS_ATIVOS__UM_A_DOIS_CREDITOS_ATIVOS + FAIXA_TAXA_REJEICAO__SEM_REJEICAO_PREVIA;FAIXA_IDADE__IDADE_60_OU_MAIS + CATEGORIA_FILHOS__SEM_FILHOS;4;2;6;0.010000;0.35;2.48;0.01;1.31
60;FAIXA_IDADE__IDADE_60_OU_MAIS + CATEGORIA_FILHOS__SEM_FILHOS;POSSE_CARRO__SEM_CARRO + SITUACAO_FAMILIAR__SEPARADO_VIUVO_OU_NAO_INFORMADO + FAIXA_CREDITOS_ATIVOS__UM_A_DOIS_CREDITOS_ATIVOS + FAIXA_TAXA_REJEICAO__SEM_REJEICAO_PREVIA;2;4;6;0.010000;0.07;2.48;0.01;1.04
61;FAIXA_IDADE__IDADE_60_OU_MAIS;POSSE_CARRO__SEM_CARRO + SITUACAO_FAMILIAR__SEPARADO_VIUVO_OU_NAO_INFORMADO + FAIXA_CREDITOS_ATIVOS__UM_A_DOIS_CREDITOS_ATIVOS + FAIXA_TAXA_REJEICAO__SEM_REJEICAO_PREVIA;1;4;5;0.010000;0.07;2.46;0.01;1.04
62;POSSE_CARRO__SEM_CARRO + SITUACAO_FAMILIAR__SEPARADO_VIUVO_OU_NAO_INFORMADO + FAIXA_CREDITOS_ATIVOS__UM_A_DOIS_CREDITOS_ATIVOS + FAIXA_TAXA_REJEICAO__SEM_REJEICAO_PREVIA;FAIXA_IDADE__IDADE_60_OU_MAIS;4;1;5;0.010000;0.35;2.46;0.01;1.31
63;POSSE_CARRO__SEM_CARRO + SITUACAO_FAMILIAR__SEPARADO_VIUVO_OU_NAO_INFORMADO;FAIXA_IDADE__IDADE_60_OU_MAIS + CATEGORIA_FILHOS__SEM_FILHOS + FAIXA_CREDITOS_ATIVOS__UM_A_DOIS_CREDITOS_ATIVOS + FAIXA_TAXA_REJEICAO__SEM_REJEICAO_PREVIA;2;4;6;0.010000;0.1;2.43;0.01;1.06
64;FAIXA_IDADE__IDADE_60_OU_MAIS + CATEGORIA_FILHOS__SEM_FILHOS + FAIXA_CREDITOS_ATIVOS__UM_A_DOIS_CREDITOS_ATIVOS + FAIXA_TAXA_REJEICAO__SEM_REJEICAO_PREVIA;POSSE_CARRO__SEM_CARRO + SITUACAO_FAMILIAR__SEPARADO_VIUVO_OU_NAO_INFORMADO;4;2;6;0.010000;0.24;2.43;0.01;1.18
65;POSSE_CARRO__SEM_CARRO + SITUACAO_FAMILIAR__SEPARADO_VIUVO_OU_NAO_INFORMADO;FAIXA_IDADE__IDADE_60_OU_MAIS + FAIXA_CREDITOS_ATIVOS__UM_A_DOIS_CREDITOS_ATIVOS + FAIXA_TAXA_REJEICAO__SEM_REJEICAO_PREVIA;2;3;5;0.010000;0.1;2.4;0.01;1.06
66;FAIXA_IDADE__IDADE_60_OU_MAIS + FAIXA_CREDITOS_ATIVOS__UM_A_DOIS_CREDITOS_ATIVOS + FAIXA_TAXA_REJEICAO__SEM_REJEICAO_PREVIA;POSSE_CARRO__SEM_CARRO + SITUACAO_FAMILIAR__SEPARADO_VIUVO_OU_NAO_INFORMADO;3;2;5;0.010000;0.24;2.4;0.01;1.18
67;FAIXA_CREDITO__CREDITO_BAIXO + FAIXA_IDADE__IDADE_50_A_59;FAIXA_RENDA__RENDA_BAIXA + CATEGORIA_FILHOS__SEM_FILHOS + FAIXA_CREDITOS_ATIVOS__UM_A_DOIS_CREDITOS_ATIVOS;2;3;5;0.010000;0.24;2.39;0.01;1.18
68;FAIXA_RENDA__RENDA_BAIXA + CATEGORIA_FILHOS__SEM_FILHOS + FAIXA_CREDITOS_ATIVOS__UM_A_DOIS_CREDITOS_ATIVOS;FAIXA_CREDITO__CREDITO_BAIXO + FAIXA_IDADE__IDADE_50_A_59;3;2;5;0.010000;0.1;2.39;0.01;1.06
69;FAIXA_IDADE__IDADE_30_A_39;CATEGORIA_FILHOS__DOIS_OU_MAIS_FILHOS + POSSE_CARRO__SEM_CARRO + FAIXA_CREDITOS_ATIVOS__SEM_CREDITOS_ATIVOS;1;3;4;0.010000;0.04;2.34;0.01;1.02
70;CATEGORIA_FILHOS__DOIS_OU_MAIS_FILHOS + POSSE_CARRO__SEM_CARRO + FAIXA_CREDITOS_ATIVOS__SEM_CREDITOS_ATIVOS;FAIXA_IDADE__IDADE_30_A_39;3;1;4;0.010000;0.62;2.34;0.01;1.91
71;CATEGORIA_FILHOS__DOIS_OU_MAIS_FILHOS + POSSE_CARRO__SEM_CARRO;FAIXA_IDADE__IDADE_30_A_39 + FAIXA_CREDITOS_ATIVOS__SEM_CREDITOS_ATIVOS;2;2;4;0.010000;0.17;2.32;0.01;1.11
72;FAIXA_IDADE__IDADE_30_A_39 + FAIXA_CREDITOS_ATIVOS__SEM_CREDITOS_ATIVOS;CATEGORIA_FILHOS__DOIS_OU_MAIS_FILHOS + POSSE_CARRO__SEM_CARRO;2;2;4;0.010000;0.14;2.32;0.01;1.09
